recipeLink,recipeName,recipeUrl,click_count
recipe/Banana-Bread-2212634,Banana Bread,https://lh3.googleusercontent.com/64beITpsWc8OZKI5gri-PiLZ4xyGRtYXChJNlB4njyRr3HLy8RtzRu9pTZ-OsRW70lW81j1PVXsOvF4fZsYgMg,124179
recipe/French-Toast-2412767,French Toast,https://lh3.googleusercontent.com/BH5mIZ23rSvDI7Ut8edhKolAmVY7UIAE_qPUheGShnb6B6w0bS8x2M3V0-WoeGEMNxi4RZUZAdXsedak0sLZNQ,3289
recipe/Cheesecake-Cupcakes-9060468,Cheesecake Cupcakes,https://lh3.googleusercontent.com/Qc67C4i7-ykl_mrGnLDGUc3sxr2cKgmFLtzAEgj7-Zul3DTUwg0FnfmUfrfz3zK5QnOayZVkonjgn_Ef5txAbw,6371
recipe/Naan-2722836,Naan,https://lh3.googleusercontent.com/ayQA4UjIpf9gY9l9NxGsAowwzqTL0NN1Ktd4xTG1fHtgiit7j_pWuQQTJiUzDRzzxWjkVSCbD0rFnaPTGjrVmA,1045
recipe/Greek-Salad-Dressing-2636207,Greek Salad Dressing,https://lh3.googleusercontent.com/WP9YFQ8A5ytV2y65uvEQHCD1XjoNAjdsC61tK-ZzZYC61CtCCYDU-xNIaa8LFywDsOm0OGZQGDSWTCRu6NGP2A,2293
recipe/Naan-2547764,Naan,https://lh3.googleusercontent.com/8kLZrh2cRaE25IF_bABEfg7SaZ1RgPjpRBrNzMnZAgwwIAm9Rnd26ifHkuY5SW-70QPvCM3-PVSV5P1u2_I1Wg,412
recipe/Parmesan-Crisps-2570468,Parmesan Crisps,https://lh3.googleusercontent.com/rVcZEY4RNnR75DFcVlNpLkTCm4RTEdYnrLm_NPw72oAQfQZ401420BN9xhGVeqdeK43nzG2UdPqJDcVaM_ZrAA,12792
recipe/French-Toast-2146812,French Toast,https://lh3.googleusercontent.com/xzYFwAjZDSDiQL_JIRE-foG5l1cVRvbxRF1dk9z2Yvqox23PSBDkAb3T1vIaz1mjocxBkQdPCVwIUXo1EPfZRA,16038
recipe/Parmesan-Crisps-2464946,Parmesan Crisps,https://lh3.googleusercontent.com/wvORxWKlg_d7kny2QXNWTmQoZVzRiOZbR5u2_F0UabDG8FqzIlc0wwBunbT0pfC-dC7djwhW66K5_n1RUs_zDvA,127
recipe/Greek-Salad-Dressing-591,Greek Salad Dressing,https://lh3.googleusercontent.com/lkf4qxZhwXlHGvBfFqb-w5bNEgnjthY5IaYiXzS-Sc6ZC2EnBBnNM5FrLI5wWyyRiSXxGPE7enF2pbv0cpRhJUs,681
recipe/Cheesecake-Cupcakes-9073059,Cheesecake Cupcakes,https://lh3.googleusercontent.com/2u659XVRC0P6Z6l0aOS8YQBUaVfyL95UQW4S4vqiaVM-AycP-nlTIHiPNCo-IA61zkA3oRYEqsurqxR2g945,1928
recipe/Baked-Chicken-Parmesan-2254766,Baked Chicken Parmesan,https://lh3.googleusercontent.com/VHOt2LdumRYMmEDAJqSvKANgoHVB3LdUj6B2CoCVAkzsb82X8uRmOTOiOJ9teOTPXK2Kmq2iIc3RU1xtb1i6,129930
recipe/Banana-Bread-2321627,Banana Bread,https://lh3.googleusercontent.com/o8rOc_onL8g13ZpEhzS4ZZYM4AFU_ao1ahMUiLan3adUIzDf23HOYDUt9lIgoD46-w9wwbEquZ0yPDESzCnrvw,2684
recipe/Baked-Chicken-Parmesan-2258138,Baked Chicken Parmesan,https://lh3.googleusercontent.com/sCP1dPeyt8BTBhVfLCHKgzQvuX-8mj2xAVGub0Cc12NPzZGBAeGhhMlP4nS7pEnqEdWi38dSY18OMmPdH_RD,30757
recipe/Banana-Bread-2213060,Banana Bread,https://lh3.googleusercontent.com/BuhtV-jzJXIVoGNJSt2i2zZIhz0n3ST9yNV4jutHQU_ug6iY_53q4H9lU8TUDrackmHLaxQdQ1TPSRZfz3HhMQ,11605
